experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02132025_Cen-ZF_select_HCT116_session2,21,0,5859.9616128306025,5654.0,1621,1904080,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1a_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,21,1,587.859084803304,508.0,262,1904080,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1a_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,22,0,4493.434033544857,4203.0,1407,2316599,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3a_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,22,1,1339.6995205533285,872.0,353,2316599,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3a_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,23,0,5994.510459403559,5818.0,1894,2251501,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1a_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,23,1,1168.4296011292802,883.0,462,2251501,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1a_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,24,0,5861.520595876057,5606.0,1469,2286125,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,24,1,892.7516260132373,709.0,320,2286125,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,25,0,4871.679257951479,4370.0,1306,2496172,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,25,1,1803.4610986186444,1064.0,393,2496172,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,26,0,4057.6123457484828,3794.0,919,2559541,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,26,1,1914.4736013467493,1022.0,268,2559541,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,27,0,3723.149308413347,3534.0,883,2699735,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF1b_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,27,1,1629.7640311971475,950.0,304,2699735,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF1b_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,28,0,5893.019070191068,5551.0,1921,2406710,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,28,1,1015.6396005630975,714.0,334,2406710,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,29,0,3571.780663839926,3062.0,1179,3092372,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,29,1,387.35166273656597,385.0,256,3092372,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos6_MIP
02132025_Cen-ZF_select_HCT116_session2,30,0,4676.50787294518,4521.0,1253,2194735,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,30,1,481.44926268077,484.0,264,2194735,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,31,0,5331.4334581623925,4929.0,1423,2191418,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,31,1,2837.0511165984753,1329.0,365,2191418,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen22-ZF1a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,32,0,3702.2979831452917,3496.0,1114,2349037,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,32,1,801.4188379528449,595.0,284,2349037,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,33,0,5139.4759509474625,4899.0,1793,2353703,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,33,1,662.9243997191948,592.0,328,2353703,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen19-ZF1c_1_MMStack_Pos0_MIP
