experiment,base_name,ROI,channel,x,y,intensity,probability,plasmid,median,maxima,sbr,rel_intensity,rel_sbr,real_spot
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,50,2,298,765,2684.0,0.322,NT-GFP_Cen21-ZF1b,1428.0,2941,1.8795518207282913,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,42,2,1192,636,5586.14,0.484,NT-GFP_Cen21-ZF1b,3240.0,5667,1.7241172839506174,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,33,2,651,549,15582.0,0.303,NT-GFP_Cen21-ZF1b,8700.0,20900,1.7910344827586206,0.7455502392344497,0.7455502392344497,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,33,2,601,518,20900.0,0.335,NT-GFP_Cen21-ZF1b,8700.0,20900,2.4022988505747125,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,33,2,627,489,11502.0,0.396,NT-GFP_Cen21-ZF1b,8700.0,20900,1.3220689655172413,0.5503349282296651,0.5503349282296651,No
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,31,2,1712,530,5306.02,0.472,NT-GFP_Cen21-ZF1b,3014.0,5942,1.7604578633045789,0.9146890999672466,0.9146890999672467,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,31,2,1678,495,5208.0,0.441,NT-GFP_Cen21-ZF1b,3014.0,5942,1.727936297279363,0.8977917219741764,0.8977917219741766,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,31,2,1729,483,5800.9,0.473,NT-GFP_Cen21-ZF1b,3014.0,5942,1.924651625746516,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,19,2,188,383,904.0,0.448,NT-GFP_Cen21-ZF1b,472.0,1211,1.9152542372881356,0.771996344973057,0.7719963449730569,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,19,2,173,384,1170.99,0.504,NT-GFP_Cen21-ZF1b,472.0,1211,2.4809110169491526,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,19,2,139,326,899.8499999999999,0.485,NT-GFP_Cen21-ZF1b,472.0,1211,1.9064618644067794,0.7684523352035456,0.7684523352035456,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,21,2,1316,381,57891.4,0.486,NT-GFP_Cen21-ZF1b,42321.0,65185,1.36791191134425,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,22,2,1692,362,12925.3,0.467,NT-GFP_Cen21-ZF1b,6695.0,13186,1.93058999253174,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,22,2,1621,352,9543.98,0.491,NT-GFP_Cen21-ZF1b,6695.0,13186,1.4255384615384614,0.738395240342584,0.7383952403425839,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos6_MIP,17,2,1282,319,40587.9,0.482,NT-GFP_Cen21-ZF1b,32735.0,56119,1.2398930808003665,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,108,2,1264,1751,6998.49,0.63,NT-GFP_CenY-ZF4b,3390.0,7204,2.0644513274336282,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,98,2,632,1711,4214.0,0.511,NT-GFP_CenY-ZF4b,2613.0,4393,1.612705702257941,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,102,2,504,1660,2934.78,0.493,NT-GFP_CenY-ZF4b,2505.0,3767,1.1715688622754492,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,99,2,995,1611,2397.0,0.46,NT-GFP_CenY-ZF4b,1913.0,5605,1.2530057501306848,0.8250666042502806,0.8250666042502807,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,99,2,1000,1603,2905.22,0.497,NT-GFP_CenY-ZF4b,1913.0,5605,1.5186722425509669,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,87,2,1122,1468,7585.63,0.622,NT-GFP_CenY-ZF4b,4654.0,7702,1.6299162011173185,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,87,2,1092,1452,6059.0,0.44,NT-GFP_CenY-ZF4b,4654.0,7702,1.3018908465835841,0.7987471047230091,0.7987471047230092,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,87,2,1170,1433,6601.0,0.306,NT-GFP_CenY-ZF4b,4654.0,7702,1.418349806617963,0.8701979927837239,0.8701979927837239,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,82,2,562,1385,3206.0,0.469,NT-GFP_CenY-ZF4b,2170.0,4047,1.4774193548387098,0.8903082477089698,0.8903082477089698,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,82,2,650,1344,3601.0,0.307,NT-GFP_CenY-ZF4b,2170.0,4047,1.659447004608295,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,83,2,159,1349,5170.9,0.484,NT-GFP_CenY-ZF4b,3522.0,5321,1.4681714934696195,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,83,2,62,1329,4703.42,0.499,NT-GFP_CenY-ZF4b,3522.0,5321,1.3354400908574673,0.9095940745324799,0.9095940745324799,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,83,2,154,1323,4166.0,0.356,NT-GFP_CenY-ZF4b,3522.0,5321,1.1828506530380465,0.8056624572124775,0.8056624572124775,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,73,2,958,1280,2558.0,0.413,NT-GFP_CenY-ZF4b,3149.0,7465,0.8123213718640838,0.4877955758962624,0.4877955758962624,No
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,73,2,993,1185,5244.0,0.388,NT-GFP_CenY-ZF4b,3149.0,7465,1.6652905684344237,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,76,2,50,1244,3932.0,0.343,NT-GFP_CenY-ZF4b,3290.5,5010,1.1949551739857165,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,76,2,164,1201,3818.0,0.34,NT-GFP_CenY-ZF4b,3290.5,5010,1.160309983285215,0.9710071210579858,0.9710071210579858,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,66,2,1055,1119,4986.66,0.523,NT-GFP_CenY-ZF4b,3499.0,6439,1.4251671906258931,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,60,2,1453,1073,1721.53,0.49,NT-GFP_CenY-ZF4b,1215.0,1803,1.4168971193415638,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,51,2,378,951,42912.36,0.486,NT-GFP_CenY-ZF4b,36317.0,49891,1.181605308808547,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,45,2,1367,852,3760.0,0.325,NT-GFP_CenY-ZF4b,2838.0,4827,1.324876673713883,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,45,2,1287,751,3486.73,0.475,NT-GFP_CenY-ZF4b,2838.0,4827,1.2285870331219169,0.9273218085106383,0.9273218085106383,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,28,2,1340,557,51057.0,0.334,NT-GFP_CenY-ZF4b,39352.0,65233,1.2974435860947346,0.9479699884699578,0.9479699884699577,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,28,2,1316,539,53859.3,0.516,NT-GFP_CenY-ZF4b,39352.0,65233,1.368654706241106,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,28,2,1385,408,40529.0,0.412,NT-GFP_CenY-ZF4b,39352.0,65233,1.0299095344582232,0.7524977116301177,0.7524977116301176,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,16,2,1632,292,16016.0,0.337,NT-GFP_CenY-ZF4b,10762.5,20379,1.488130081300813,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos5_MIP,13,2,470,210,2762.0,0.373,NT-GFP_CenY-ZF4b,2360.0,3811,1.1703389830508475,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,127,2,721,1964,4312.51,0.482,NT-GFP_CenY-ZF3c,4088.0,7478,1.05491927592955,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,123,2,177,1931,2598.28,0.442,NT-GFP_CenY-ZF3c,1276.0,2640,2.036269592476489,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,123,2,139,1890,2044.7600000000002,0.476,NT-GFP_CenY-ZF3c,1276.0,2640,1.6024764890282133,0.7869667626275845,0.7869667626275845,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,121,2,1548,1821,4481.96,0.479,NT-GFP_CenY-ZF3c,4586.0,6945,0.9773135630178805,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,112,2,1182,1718,1470.29,0.445,NT-GFP_CenY-ZF3c,755.5,2003,1.9461151555261416,0.778953335593795,0.778953335593795,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,112,2,1203,1719,1887.52,0.54,NT-GFP_CenY-ZF3c,755.5,2003,2.49837193911317,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,112,2,1214,1697,1443.0,0.38,NT-GFP_CenY-ZF3c,755.5,2003,1.9099933818663137,0.7644952106467746,0.7644952106467746,Yes
