experiment,base_name,ROI,channel,x,y,intensity,probability
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1388,291,1488.91,0.5
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1354,292,963.08,0.513
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1384,290,1380.0,0.409
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,3,2,1452,271,1535.37,0.558
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,2,2,1327,223,1629.92,0.578
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,2,2,1324,170,1978.08,0.619
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,1,2,839,150,3912.74,0.669
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_PTA_1_MMStack_Pos-6-000_004_MIP,1,2,823,131,2392.54,0.606
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,136,2,1787,2024,715.91,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,133,2,1601,2021,730.27,0.498
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,136,2,1755,2013,912.49,0.558
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,133,2,1571,2000,621.26,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1169,1983,427.94,0.486
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,132,2,1922,1974,533.41,0.515
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1157,1974,643.54,0.517
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,129,2,1818,1973,888.27,0.572
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1220,1958,591.55,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,131,2,1238,1948,744.71,0.502
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,132,2,1939,1936,788.43,0.569
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,125,2,907,1932,510.63,0.507
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,129,2,1840,1928,670.0,0.503
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,127,2,1609,1920,1211.52,0.564
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,125,2,974,1922,564.12,0.505
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,125,2,899,1910,609.77,0.496
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,130,2,127,1910,328.0,0.366
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,129,2,1793,1909,704.71,0.531
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,127,2,1639,1908,894.62,0.517
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,126,2,1307,1909,490.2,0.486
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,129,2,1828,1905,1091.72,0.604
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,128,2,1973,1896,922.51,0.542
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,126,2,1269,1894,635.09,0.502
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,123,2,800,1864,446.35,0.491
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,124,2,244,1849,477.19,0.501
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,121,2,329,1843,387.0,0.461
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,125,2,967,1837,495.72,0.502
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,122,2,430,1835,693.64,0.533
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,121,2,313,1833,430.57,0.494
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,121,2,337,1830,658.89,0.545
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,124,2,239,1831,420.0,0.444
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,120,2,1845,1804,1399.04,0.61
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,123,2,793,1801,401.0,0.436
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,119,2,1357,1785,418.21,0.472
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,118,2,79,1770,527.47,0.499
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,117,2,1072,1763,600.35,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,119,2,1302,1761,411.0,0.423
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,120,2,1886,1758,865.74,0.527
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,114,2,1053,1758,588.16,0.502
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,114,2,1001,1757,462.42,0.489
